"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",921850,0.105336009112112,0.567044530021153,0.204156858491078,0.0553191950968162,0.0365222107718175,0.014917828280089,0.0149080653034659,0.00179530292346911,9.52065415488079,3,1
"2","WN",794849,0.0640977091246262,0.697789139824042,0.142546571738783,0.0436875431685767,0.0295955584016587,0.0091577142325146,0.0114977813396004,0.00162798217019836,6.6374513013503,0,1
"3","UA",743847,0.130409882677486,0.577614751420655,0.157514919062657,0.047980297023447,0.0425154635294624,0.01906440437348,0.0226753620032077,0.00222491990960507,8.71392548168063,1,1
"4","US",718751,0.136659288126208,0.61175845320563,0.154250915824813,0.0395352493422618,0.0274796139414067,0.0105168549330714,0.0177780622218265,0.00202156240478274,5.56948560722194,0,1
"5","AA",663954,0.271658879982649,0.475088635658494,0.135110263662844,0.0392436825442726,0.0361726866620278,0.0193763423369691,0.0203011051970468,0.00304840395569573,4.85954991202111,-2,1
"6","NW",537152,0.178817169069463,0.518238785297272,0.160118551173597,0.0511084385797689,0.0422431639461456,0.0217350023829382,0.0249314905278208,0.00280739902299535,8.69577521962577,1,1
"7","CO",403349,0.173465162923424,0.545651532543777,0.15643276666113,0.0457023570158845,0.038177855901465,0.0211405011540874,0.0167125739743993,0.00271724982583321,7.99401029551569,1,1
"8","TW",274037,0.202687958195426,0.551454730565581,0.12853008900258,0.0391334016939318,0.0362067895941059,0.0186763101333032,0.0211102880267993,0.00220043278827312,5.68413481836286,-1,1
"9","HP",206304,0.0812344889095703,0.63055975647588,0.173971420815883,0.0443374825500233,0.0380215604156972,0.0171736854350861,0.0134122460058942,0.00128935939196526,9.28496440712153,3,1
"10","AS",147750,0.0676074450084602,0.608507614213198,0.207160744500846,0.0484467005076142,0.0307275803722504,0.0131912013536379,0.0207918781725888,0.0035668358714044,9.51258055788722,4,1
"11","All_data",5411843,0.142642903720599,0.578682160587438,0.160772032743744,0.0459730631505755,0.0356590167157473,0.0159738558564984,0.0180646408256854,0.00223232639971263,7.4905783648771,1,1
