"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","WN",911699,0.0871055030223791,0.605453115556779,0.169583382234707,0.0605210710991237,0.0470264857151319,0.0183558389336832,0.00991445641598817,0.00204014702220799,10.477490008881,2,1
"2","DL",908029,0.187302387919329,0.518275297374864,0.144321381806088,0.0483927275450454,0.0415592453544986,0.0233241449336971,0.0347665107612202,0.00205830430525897,8.27956267558207,0,1
"3","UA",776559,0.132895246851817,0.431073492162218,0.177789453216047,0.0724349341131839,0.0776116174044728,0.0491308451772499,0.0568649645422949,0.00219944653271677,18.4795919484543,5,1
"4","US",748624,0.172998728333583,0.503133749385539,0.150162164183889,0.0557302464254419,0.0517990339609737,0.025427985210199,0.0374754215734468,0.00327267092692727,9.86189475560457,1,1
"5","AA",742265,0.239382161357467,0.446286703535799,0.134686399062329,0.0502219557705132,0.0534256633412595,0.0324870497733289,0.0399816777027073,0.00352838945659569,9.72682610085793,-1,1
"6","NW",551337,0.273763596493615,0.458509042563804,0.127794797011628,0.0470927944251882,0.0408896917856048,0.0215022753778542,0.0278232732430437,0.00262452909926234,5.94914788139557,-2,1
"7","CO",393036,0.275183443755788,0.459199666188339,0.131097405835598,0.0439832483538404,0.0412939272738375,0.0285342818469555,0.018563185051751,0.00214484169389064,6.84996245748863,-2,1
"8","TW",267131,0.181794699978662,0.532678723173275,0.142521833856797,0.0486914659848539,0.0451426453687517,0.0274135162148908,0.0196682526550644,0.00208886276770573,9.14352190234924,0,1
"9","HP",219160,0.104252600839569,0.487100748311736,0.20247307902902,0.0693192188355539,0.0603257893776237,0.0322823507939405,0.0429914217922979,0.00125479102025917,14.9381179492321,5,1
"10","AS",154171,0.098844789227546,0.517600586361897,0.195224782870968,0.0622231158907966,0.0483489112738453,0.0250176751788598,0.0486861990906202,0.00405394010546731,12.821446179129,4,1
"11","AQ",11036,0.0149510692279812,0.851123595505618,0.097046031170714,0.0128669807901414,0.00679594055817325,0.00154041319318594,0.0156759695541863,0,2.54156310411489,0,1
"12","All_data",5683047,0.176981643825926,0.49916708413638,0.153387434592746,0.0555253194281166,0.051186977689961,0.0282522738242355,0.0329911049477507,0.0025081615548842,10.4728861002575,1,1
