"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",783320,0.0537851708114181,0.652493233927386,0.211258489506204,0.0417568809681867,0.0247114844507992,0.00934483991216872,0.00601031506919267,0.000639585354644334,8.43665620971815,4,1
"2","AA",723252,0.157096005265108,0.584254174202076,0.1523245010038,0.0411129177658686,0.0350334323306399,0.0129235729731822,0.0137835775082544,0.003471818951071,6.17722701513284,0,1
"3","US",712342,0.0628700820673216,0.571410923404769,0.22184709030213,0.0644479758318336,0.0444561741410727,0.0147401107894803,0.0174157918527898,0.00281185161060277,11.5434576098279,5,1
"4","UA",574674,0.122518158120952,0.518551387395288,0.202614003765613,0.0660635421125716,0.0513125702572241,0.019725966373979,0.0155079227527259,0.00370644922164566,11.2276201493173,4,1
"5","NW",451752,0.154478563459597,0.572650480794772,0.179472365368609,0.0425255449892862,0.0273402220687457,0.00955391453717969,0.0111056508880979,0.00287325789371159,6.03604101141127,1,1
"6","CO",410322,0.216824835129484,0.519879509263456,0.157469012141684,0.0445747486120656,0.034014749391941,0.0142400358742646,0.00953153864525909,0.00346557094184567,5.54832600391616,0,1
"7","WN",288802,0.0528909079577011,0.69324658416493,0.163859668561852,0.0470287601886414,0.0277456527309368,0.00621533091876095,0.0071987036100858,0.00181439186709233,6.76878325920077,1,1
"8","PI",286518,0.0333556704988866,0.551867596451183,0.269857391158671,0.067842160003909,0.0421579097997333,0.018819061978654,0.0117514431903057,0.00434876691865782,13.8428796935138,7,1
"9","TW",276471,0.137106604309313,0.566855113194512,0.180503560952143,0.0526782194154179,0.0356927127980873,0.0120663650075415,0.0114044510997537,0.00369297322323137,7.57684072905688,2,1
"10","HP",195588,0.0497934433605334,0.713959956643557,0.177285927562018,0.032215677853447,0.0163404707855288,0.0030421089228378,0.00575699940691658,0.00160541546516146,5.92844633990564,3,1
"11","EA",169704,0.156655117145147,0.526611040399755,0.128376467260642,0.0346132088813463,0.0300051854994579,0.014112808183661,0.103215009663885,0.00641116296610569,5.96464592984778,0,1
"12","AS",89122,0.0723165997172415,0.653284262022845,0.192017683624694,0.036242454163955,0.0215996050357936,0.00755144633199435,0.0115235295437715,0.00546441955970467,7.45259565336499,3,1
"13","PA (1)",79333,0.154513254257371,0.52274589389031,0.182143622452195,0.0591557107382804,0.0471682654128799,0.0182899928150959,0.0122773625099265,0.00370589792394086,9.56207006981362,3,1
"14","All_data",5041200,0.108597754502896,0.586066611124335,0.190109497738634,0.0498891137030866,0.0349270015075776,0.0127547012616044,0.0147117749742125,0.00294354518765373,8.40639566769974,3,1
