"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","WN",958566,0.200605905070699,0.630397906873392,0.0951264701648087,0.030671857754187,0.0231689836693561,0.00820392127406981,0.0101380603943808,0.00168689479910616,2.06386298590312,-2,1
"2","AA",752241,0.326336905326883,0.454007425811675,0.109055475572323,0.0374175297544271,0.0355524359879347,0.019452542469767,0.0160586833209038,0.00211900175608615,3.20733799370944,-4,1
"3","DL",660617,0.23251747987109,0.543478293776878,0.134415251196987,0.0366399895854936,0.0271306975145962,0.0136856908011753,0.0105098718319389,0.00162272542184049,3.85529771591261,-2,1
"4","UA",543957,0.305503927700167,0.492402892140371,0.102951152388884,0.0337342841437834,0.0329051744898953,0.0200401870000754,0.0108813748145534,0.00158100732226996,3.11390823898224,-4,1
"5","NW",499160,0.301324224697492,0.486579453481849,0.123377273820018,0.0372485776103854,0.027349947912493,0.0103253465822582,0.0122485776103854,0.001546598285119,1.96324810979251,-3,1
"6","MQ",429098,0.312404159422789,0.43930757076472,0.109613654689605,0.0442835902288055,0.0423609525096831,0.0189467207957157,0.0318645157982559,0.0012188357904255,4.23933362577187,-4,1
"7","US",411956,0.265423977317966,0.490246531182942,0.13290011554632,0.0446892386565556,0.034770703667382,0.0150550058744138,0.0154336870927963,0.00148074066162406,4.22309796833486,-3,1
"8","OO",396801,0.184414857825459,0.661162648279616,0.0827996905249735,0.0233693967505122,0.0204384565563091,0.0100755794466244,0.0163835272592559,0.0013558433572496,2.2876037171402,0,1
"9","XE",328086,0.245341160549368,0.506108154569229,0.132251909560298,0.0408917174155557,0.0352559999512323,0.0188517644763873,0.018370183427516,0.00292911005041361,5.22896748033311,-2,1
"10","CO",302742,0.292886352075365,0.48307469726698,0.124059430141837,0.0379894431562188,0.033206492657114,0.0192077742764466,0.00772605056450707,0.00184975986153226,3.78293973846313,-3,1
"11","DH",291600,0.338093278463649,0.380109739368999,0.109643347050754,0.0486522633744856,0.0534156378600823,0.0303395061728395,0.037764060356653,0.00198216735253772,6.5338202207064,-4,1
"12","EV",273712,0.272406763313264,0.443626877886245,0.137841965277372,0.0536987782778979,0.0466950663471094,0.0203315894078447,0.0237658560823055,0.00163310340796165,6.65989653621233,-2,1
"13","HP",189519,0.277191205103446,0.496868387866124,0.13440341073982,0.037173053889056,0.0279708103145331,0.0145051419646579,0.0104633308533709,0.0014246592689915,3.06153279292557,-3,1
"14","AS",161594,0.283574885206134,0.486546530192953,0.12086463606322,0.0374518855898115,0.0319690087503249,0.0148891666769806,0.0215540180947312,0.00314986942584502,3.17767541021053,-3,1
"15","FL",144700,0.228403593642018,0.477760884588804,0.151230131306151,0.0564616447823082,0.0495784381478922,0.0235521769177609,0.0111541119557706,0.00185901865929509,8.36606986563224,0,1
"16","TZ",69176,0.322799814964728,0.436350757488146,0.126127558690875,0.0408378628426044,0.0353157164334451,0.0253989823060021,0.0123597779576732,0.000809529316525963,4.95959862301326,-3,1
"17","B6",67184,0.337550607287449,0.46561681352703,0.118391283638962,0.0330882352941176,0.0234133126934985,0.0152119552274351,0.00458442486306263,0.00214336746844487,0.986033686986753,-4,1
"18","HA",7831,0.127697612054655,0.755459072915337,0.0789171242497765,0.020687013152854,0.00817264717149789,0.00408632358574895,0.00472481164602222,0.000255395224109309,-0.142967145790554,-3,1
"19","All_data",6488540,0.268823186726136,0.5120164166361,0.11544584760208,0.0378605972992384,0.0324781846147207,0.0159834107518795,0.0156381867107238,0.00175416965912208,3.59669409847312,-3,1
