"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","WN",1036034,0.186071113496275,0.583451894435897,0.128964879530981,0.0445921658941695,0.0339052579355504,0.0129793037680231,0.00845435574508173,0.00158102919402259,5.33549101680224,0,1
"2","AA",673569,0.245502687920614,0.481393888376692,0.127547437604759,0.0492050554583124,0.0502442956846292,0.0290794261612396,0.0144781009814882,0.00254910781226571,8.31173387705785,-2,1
"3","DL",658302,0.213329140728723,0.504432616033371,0.137405020795926,0.046060926444094,0.0448016260014401,0.0250887890360351,0.0269344465002385,0.00194743446017178,7.9131801110296,-1,1
"4","MQ",532032,0.230512450378925,0.490782509322748,0.124648517382413,0.0484670095031878,0.0480779351617948,0.0242485414411163,0.0314755503428365,0.00178748646697943,7.65797388861345,-2,1
"5","OO",517454,0.232818762633973,0.554370050284663,0.10923289799673,0.0346929388892539,0.0329981022467698,0.0156806208861077,0.0186277427558778,0.00157888430662436,3.84961873616858,-3,1
"6","UA",485918,0.273751949917476,0.462059442128096,0.124257590786923,0.0452236797155076,0.0481645051222634,0.0317790244444536,0.0129569186570574,0.00180688922822369,7.56035793660077,-2,1
"7","NW",480832,0.21098637361906,0.488293208438706,0.161609460268867,0.0559155796619193,0.0449678889924131,0.0213983262345268,0.0144270764009051,0.00240208638360176,8.82535008672843,0,1
"8","US",425609,0.273156817642484,0.446541309041867,0.139174688505177,0.0514627275269085,0.0449685039555085,0.0232020469491952,0.0197975136803968,0.00169639269846267,6.64020400469672,-2,1
"9","XE",403767,0.230838577694561,0.479746982789579,0.138096971768371,0.0483496670109246,0.0464228131570931,0.0305646573395052,0.0231643497363579,0.00281598050360728,8.89223626095602,-1,1
"10","OH",381337,0.291435134802025,0.474894909227271,0.109991949378109,0.0388003262206395,0.0355931892263274,0.0178136399038121,0.0298161468727136,0.00165470436910135,3.40967303485173,-4,1
"11","EV",304647,0.257314202995598,0.413757562030809,0.130833390776866,0.0578604089323053,0.0610509868798971,0.0316497454430866,0.0456265776456029,0.00190712529583419,9.95583907142808,-1,1
"12","CO",296661,0.234547176743825,0.484401387442232,0.147612931932408,0.0477818115626928,0.0440266836557552,0.0299432685792875,0.00923276062576476,0.00245397945803459,8.5726993048971,0,1
"13","HP",197853,0.269093721095965,0.495681137005757,0.138896049086948,0.038498279025337,0.0301688627415303,0.0138486654233193,0.0125699382875165,0.00124334733362648,3.34621258712587,-2,1
"14","FL",195392,0.231432197838192,0.427320463478546,0.144524852603996,0.0618244349819849,0.0700028660334098,0.0499303963314772,0.0125286603340976,0.00243612839829676,14.366393374483,0,1
"15","AS",158100,0.210398481973435,0.437602783048703,0.171442125237192,0.0681530676786844,0.0591334598355471,0.0338013915243517,0.0166350411132195,0.00283364958886781,12.2204396795294,2,1
"16","DH",136492,0.295834188084283,0.445967529232483,0.123912024147935,0.0452553995838584,0.0405151950297453,0.0264923951586906,0.0210781584268675,0.000945110336136916,6.01011342013395,-3,1
"17","B6",111050,0.233147230977037,0.428608734804142,0.178442143178748,0.0643133723547951,0.0526609635299415,0.0311481314723098,0.0079963980189104,0.00368302566411526,10.8049802738877,1,1
"18","F9",53255,0.249948361656183,0.523894470002817,0.145995681156699,0.0384752605389165,0.0259881701248709,0.0111726598441461,0.00328607642474885,0.00123932025161957,3.50754517674577,-2,1
"19","HA",48183,0.160326256148434,0.773965921590603,0.0439366581574414,0.0104393665815744,0.00624701658261212,0.00361123217732395,0.00143204034618019,4.15084158313098e-05,-2.30572414366478,-4,1
"20","TZ",44109,0.321136276043438,0.452333990795529,0.115259924278492,0.037656714049287,0.0355029585798817,0.0262531456165408,0.0115169239837675,0.000340066653064001,4.63212958289359,-4,1
"21","All_data",7140596,0.234983466366113,0.496744249359577,0.132484739369095,0.0473755972190557,0.0438176309092406,0.0239016463051544,0.0187281285763821,0.0019645418953824,7.18134339734454,-1,1
