"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","US",907184,0.116179297694845,0.666688345473465,0.158437538580927,0.0279524330235101,0.0160584842766186,0.00520952750489427,0.00764122824035697,0.00183314520538281,3.92350896794864,0,1
"2","DL",874791,0.0876380758375429,0.649950673932402,0.184065679688063,0.0380719509002722,0.0228328823684743,0.00900786587882134,0.00684734982412942,0.00158552157029508,6.72478193803651,2,1
"3","AA",725191,0.189053642419721,0.591878553374214,0.141197284577442,0.0318426455926783,0.026038657401981,0.010133881970405,0.00682716691188942,0.00302816775166818,3.87043551648646,-1,1
"4","UA",630093,0.162271283762873,0.565913285816538,0.159197134391272,0.0451346071135531,0.0371246784204871,0.0136503658983674,0.0138582717154452,0.00285037288146353,6.66093468804726,0,1
"5","NW",460230,0.231614627468874,0.586445907481042,0.118214805640658,0.0269452230406536,0.0201073376355301,0.0082849879408122,0.00595571779327727,0.0024313929991526,1.72845059929443,-2,1
"6","CO",424734,0.200417202296025,0.55731587299345,0.152676734144194,0.0388690333243866,0.0280128268516295,0.0108609153022833,0.00847589314724039,0.00337152194079118,4.54400026685601,0,1
"7","WN",368734,0.0778610054944757,0.714295399935997,0.133342734871208,0.036432767252274,0.0229704882110139,0.00656299663171826,0.00666876393280793,0.00186584367050503,4.96174371627,0,1
"8","TW",231769,0.182621489500321,0.551411103296817,0.168141554737691,0.0447039940630542,0.0285672372060112,0.00830568367641919,0.0123873339402595,0.00386160357942607,5.00342539352552,0,1
"9","HP",219896,0.0948721213664641,0.689666933459454,0.146892167206316,0.0290410012005675,0.0200594826645323,0.00728980972823517,0.0100229199257831,0.00215556444864845,4.93484425784235,1,1
"10","AS",98952,0.107607728999919,0.687626323874202,0.141240197267362,0.0279428409734012,0.0164221036462123,0.00526517907672407,0.0086708707252001,0.00522475543697955,4.29789807024196,0,1
"11","ML (1)",70622,0.1743366089887,0.615374812381411,0.121803404038402,0.0309110475489224,0.0237036617484637,0.0125881453371471,0.0190025771006202,0.00227974285633372,4.74760919573489,0,1
"12","PA (1)",64729,0.315469109672635,0.480032133973953,0.12283520524031,0.0331227116130328,0.0228954564414714,0.00892953699269261,0.0127454463996045,0.00397039966630104,0.721840778041384,-4,1
"13","All_data",5076925,0.147413050222329,0.620692052768162,0.153178548038429,0.0347409110829882,0.0240799302727537,0.0088474814971661,0.00856916342077143,0.00247886269740049,4.7364446352051,0,1
