"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","WN",956745,0.187709368745068,0.596951120727048,0.12703489435534,0.0395988481779367,0.0281266168101218,0.00853205399557876,0.0107008659569687,0.00134623123193745,3.89069940405345,-1,1
"2","AA",852439,0.373226705957846,0.431657866427979,0.10033562518843,0.0336446361557836,0.0311013456681358,0.0168070677198017,0.0112864380911713,0.00194031479085307,1.18290844591542,-6,1
"3","DL",728758,0.198458198743616,0.548401526981522,0.153758860966192,0.0409257942965978,0.0304847425345588,0.0153397972989662,0.0110667738810414,0.00156430529750617,5.71229916350846,0,1
"4","UA",587887,0.306790250507325,0.497226507815277,0.105683575244903,0.0332240719730152,0.0299870553354641,0.0178180500674449,0.00786205512283823,0.00140843393373216,2.43308374983045,-4,1
"5","NW",513331,0.305029308574779,0.460447547488852,0.128365518544565,0.0415988903845667,0.0323222248412817,0.0159604621579449,0.0142500647730217,0.00202598323498873,3.53363130128957,-3,1
"6","US",511664,0.322193861596673,0.473494324400388,0.116508099065011,0.0357695675286907,0.0273734325651209,0.0123577191281779,0.0110072234904156,0.001295772225523,1.46994374407611,-4,1
"7","MQ",439984,0.286617240626932,0.467166987890469,0.115772391723335,0.0436697698098113,0.0393127931924797,0.0173142659733081,0.0290396923524492,0.00110685843121568,4.21475440569929,-3,1
"8","CO",325246,0.305814675660884,0.483341839715169,0.127177582506779,0.0360311887002454,0.0279173302669364,0.0141185441173758,0.003987750810156,0.00161108822245316,2.29723428924789,-3,1
"9","HP",196111,0.276889108719042,0.508196888496821,0.12829978940498,0.0357399635920474,0.0264697033822682,0.0130589309115756,0.0103155865810689,0.00103002891219768,2.47897733719815,-3,1
"10","AS",159194,0.229952133874392,0.501620664095381,0.148799577873538,0.0444300664597912,0.0342349586039675,0.0153146475369675,0.0223186803522746,0.00332927120368858,5.40405902869558,-1,1
"11","All_data",5271359,0.277090784368889,0.503088103086889,0.12291156796568,0.0380535645551745,0.0305202130987474,0.0143926831771465,0.0123579137751764,0.00158516997229747,3.19124351175291,-3,1
