"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",916593,0.0728229432256192,0.643738278603481,0.203586542773074,0.0408272810287663,0.0218177533539968,0.00846067993100537,0.00709038799118038,0.00165613309287765,7.48516469728454,3,1
"2","US",886305,0.102737770857662,0.626240402570221,0.180916275999797,0.0372366171915988,0.0218660619087109,0.00770615081715662,0.0214226479597881,0.00187407269506547,5.99227176583797,2,1
"3","AA",782371,0.147390432416334,0.613857108711852,0.159201964285486,0.0349603960269489,0.0257844424192614,0.009581132224993,0.00643045307149677,0.0027940708436279,5.16613988962193,1,1
"4","UA",639349,0.165438594570415,0.593603806371794,0.149741377557484,0.0381106406673038,0.0278126656958875,0.0101900526942249,0.012506471426404,0.00259639101648708,4.90352123971523,0,1
"5","NW",474931,0.192988034051262,0.618915168729773,0.125376107266108,0.025995355114743,0.0184616291629731,0.0077863942341098,0.00827488624663372,0.00220242519439666,2.2647700311732,-2,1
"6","WN",422912,0.122647264679177,0.761210370006053,0.082839928874092,0.0166228435230024,0.0100115390435835,0.00217539346246973,0.00324653828692494,0.00124612212469734,0.462155473003145,-2,1
"7","CO",421974,0.182151033002033,0.54462123258779,0.177738438861162,0.0424528525454175,0.0279306307971581,0.0114509424751288,0.0107234094991635,0.002931460232147,5.74371954676943,1,1
"8","TW",246449,0.193472077387208,0.574479912679702,0.15053418760068,0.0363888674735949,0.0229337509991925,0.00910938977232612,0.0102942190879249,0.00278759499937107,3.8322910884983,-1,1
"9","HP",199066,0.130112625963248,0.710327228155486,0.112651080546151,0.0215405945766731,0.0140355459998192,0.00470698160409111,0.00501843609657099,0.00160750705796068,2.01958563214613,-1,1
"10","AS",102207,0.0982711555959964,0.692633576956569,0.149578795972879,0.0250374240511902,0.0139716457776865,0.00582151907403602,0.00938291897815218,0.00530296359349164,4.69440748316883,1,1
"11","All_data",5092157,0.134109572819534,0.629267125895765,0.159389626046487,0.0344152782406355,0.0219936266694055,0.00821321887757978,0.01037595659364,0.00223559485695355,4.87955775897749,0,1
