"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.1796655,"1998"
"2","(-10;10]","DL",0.5631131,"1998"
"3","(10;30]","DL",0.150498,"1998"
"4","(30;50]","DL",0.04117605,"1998"
"5","(50;100]","DL",0.03061103,"1998"
"6","(100;+inf)","DL",0.01440725,"1998"
"7","cancelled","DL",0.01849535,"1998"
"8","(-inf;-10]","Średnia",0.1749721,"1998"
"9","(-10;10]","Średnia",0.5463466,"1998"
"10","(10;30]","Średnia",0.1440212,"1998"
"11","(30;50]","Średnia",0.04501589,"1998"
"12","(50;100]","Średnia",0.03946425,"1998"
"13","(100;+inf)","Średnia",0.02089895,"1998"
"14","cancelled","Średnia",0.02683686,"1998"
