"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.1812131,"2004"
"2","(-10;10]","DL",0.5266056,"2004"
"3","(10;30]","DL",0.1620038,"2004"
"4","(30;50]","DL",0.05101521,"2004"
"5","(50;100]","DL",0.04136188,"2004"
"6","(100;+inf)","DL",0.02047444,"2004"
"7","cancelled","DL",0.01558524,"2004"
"8","(-inf;-10]","Średnia",0.2434768,"2004"
"9","(-10;10]","Średnia",0.4947784,"2004"
"10","(10;30]","Średnia",0.13106,"2004"
"11","(30;50]","Średnia",0.0462635,"2004"
"12","(50;100]","Średnia",0.04214835,"2004"
"13","(100;+inf)","Średnia",0.02241941,"2004"
"14","cancelled","Średnia",0.01792007,"2004"
