"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.08635649,"1994"
"2","(-10;10]","DL",0.6492992,"1994"
"3","(10;30]","DL",0.1854365,"1994"
"4","(30;50]","DL",0.03672847,"1994"
"5","(50;100]","DL",0.02082957,"1994"
"6","(100;+inf)","DL",0.008660692,"1994"
"7","cancelled","DL",0.01090419,"1994"
"8","(-inf;-10]","Średnia",0.13173835,"1994"
"9","(-10;10]","Średnia",0.6259909,"1994"
"10","(10;30]","Średnia",0.1526575,"1994"
"11","(30;50]","Średnia",0.03659638,"1994"
"12","(50;100]","Średnia",0.02654416,"1994"
"13","(100;+inf)","Średnia",0.011251633,"1994"
"14","cancelled","Średnia",0.01288405,"1994"
