"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.094732,"1996"
"2","(-10;10]","DL",0.5478056,"1996"
"3","(10;30]","DL",0.21165,"1996"
"4","(30;50]","DL",0.06109156,"1996"
"5","(50;100]","DL",0.04350753,"1996"
"6","(100;+inf)","DL",0.01960923,"1996"
"7","cancelled","DL",0.01927151,"1996"
"8","(-inf;-10]","Średnia",0.1200288,"1996"
"9","(-10;10]","Średnia",0.5661739,"1996"
"10","(10;30]","Średnia",0.1713404,"1996"
"11","(30;50]","Średnia",0.05334285,"1996"
"12","(50;100]","Średnia",0.04278078,"1996"
"13","(100;+inf)","Średnia",0.01967831,"1996"
"14","cancelled","Średnia",0.02401652,"1996"
