"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.2380534,"2007"
"2","(-10;10]","DL",0.4836632,"2007"
"3","(10;30]","DL",0.1470028,"2007"
"4","(30;50]","DL",0.049915,"2007"
"5","(50;100]","DL",0.04136889,"2007"
"6","(100;+inf)","DL",0.02409806,"2007"
"7","cancelled","DL",0.01370278,"2007"
"8","(-inf;-10]","Średnia",0.227588,"2007"
"9","(-10;10]","Średnia",0.4634937,"2007"
"10","(10;30]","Średnia",0.1419475,"2007"
"11","(30;50]","Średnia",0.05566725,"2007"
"12","(50;100]","Średnia",0.05449595,"2007"
"13","(100;+inf)","Średnia",0.03293518,"2007"
"14","cancelled","Średnia",0.02156761,"2007"
