"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.188168,"1999"
"2","(-10;10]","DL",0.541994,"1999"
"3","(10;30]","DL",0.1458709,"1999"
"4","(30;50]","DL",0.0437848,"1999"
"5","(50;100]","DL",0.03637448,"1999"
"6","(100;+inf)","DL",0.01815715,"1999"
"7","cancelled","DL",0.02378546,"1999"
"8","(-inf;-10]","Średnia",0.1804587,"1999"
"9","(-10;10]","Średnia",0.5307345,"1999"
"10","(10;30]","Średnia",0.1459028,"1999"
"11","(30;50]","Średnia",0.04751384,"1999"
"12","(50;100]","Średnia",0.04239054,"1999"
"13","(100;+inf)","Średnia",0.02263235,"1999"
"14","cancelled","Średnia",0.02791502,"1999"
