"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.1086221,"1995"
"2","(-10;10]","DL",0.5885518,"1995"
"3","(10;30]","DL",0.1928081,"1995"
"4","(30;50]","DL",0.05027494,"1995"
"5","(50;100]","DL",0.03182963,"1995"
"6","(100;+inf)","DL",0.01288208,"1995"
"7","cancelled","DL",0.01367618,"1995"
"8","(-inf;-10]","Średnia",0.1325103,"1995"
"9","(-10;10]","Średnia",0.5968893,"1995"
"10","(10;30]","Średnia",0.1593698,"1995"
"11","(30;50]","Średnia",0.04472678,"1995"
"12","(50;100]","Średnia",0.03382491,"1995"
"13","(100;+inf)","Średnia",0.01345826,"1995"
"14","cancelled","Średnia",0.01725127,"1995"
