"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.07438364,"1988"
"2","(-10;10]","DL",0.6791559,"1988"
"3","(10;30]","DL",0.179703,"1988"
"4","(30;50]","DL",0.03386946,"1988"
"5","(50;100]","DL",0.01994607,"1988"
"6","(100;+inf)","DL",0.006520041,"1988"
"7","cancelled","DL",0.005927189,"1988"
"8","(-inf;-10]","Średnia",0.11353481,"1988"
"9","(-10;10]","Średnia",0.6219626,"1988"
"10","(10;30]","Średnia",0.1749005,"1988"
"11","(30;50]","Średnia",0.04031529,"1988"
"12","(50;100]","Średnia",0.0267275,"1988"
"13","(100;+inf)","Średnia",0.010141489,"1988"
"14","cancelled","Średnia",0.009642844,"1988"
