"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.05378517,"1989"
"2","(-10;10]","DL",0.6524932,"1989"
"3","(10;30]","DL",0.2112585,"1989"
"4","(30;50]","DL",0.04175688,"1989"
"5","(50;100]","DL",0.02471148,"1989"
"6","(100;+inf)","DL",0.00934484,"1989"
"7","cancelled","DL",0.006010315,"1989"
"8","(-inf;-10]","Średnia",0.10859775,"1989"
"9","(-10;10]","Średnia",0.5860666,"1989"
"10","(10;30]","Średnia",0.1901095,"1989"
"11","(30;50]","Średnia",0.04988911,"1989"
"12","(50;100]","Średnia",0.034927,"1989"
"13","(100;+inf)","Średnia",0.0127547,"1989"
"14","cancelled","Średnia",0.014711775,"1989"
