"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.1873024,"2000"
"2","(-10;10]","DL",0.5182753,"2000"
"3","(10;30]","DL",0.1443214,"2000"
"4","(30;50]","DL",0.04839273,"2000"
"5","(50;100]","DL",0.04155925,"2000"
"6","(100;+inf)","DL",0.02332414,"2000"
"7","cancelled","DL",0.03476651,"2000"
"8","(-inf;-10]","Średnia",0.1769816,"2000"
"9","(-10;10]","Średnia",0.4991671,"2000"
"10","(10;30]","Średnia",0.1533874,"2000"
"11","(30;50]","Średnia",0.05552532,"2000"
"12","(50;100]","Średnia",0.05118698,"2000"
"13","(100;+inf)","Średnia",0.02825227,"2000"
"14","cancelled","Średnia",0.0329911,"2000"
