"","UniqueCarrier","Month","ratio","type","Value"
"1","EA","1",0.017774762550882,"count",29480
"2","EA","2",0.0153334637199296,"count",25565
"3","EA","3",0.777619422056222,"count",20348
"4","EA","4",0.00677830940988836,"count",2508
"5","EA","5",0.0166251039068994,"count",2406
"6","EA","6",0.00920598388952819,"count",1738
"7","EA","7",0.00018628912071535,"count",5368
"8","EA","8",0.000314927566659668,"count",9526
"9","EA","9",0.00904755225136765,"count",14258
"10","EA","10",0.00507024400549276,"count",18934
"11","EA","11",0.00733295728424183,"count",19501
"12","EA","12",0.0165404543642886,"count",20072
"13","EA","1",0.017774762550882,"cancellations",524
"14","EA","2",0.0153334637199296,"cancellations",392
"15","EA","3",0.777619422056222,"cancellations",15823
"16","EA","4",0.00677830940988836,"cancellations",17
"17","EA","5",0.0166251039068994,"cancellations",40
"18","EA","6",0.00920598388952819,"cancellations",16
"19","EA","7",0.00018628912071535,"cancellations",1
"20","EA","8",0.000314927566659668,"cancellations",3
"21","EA","9",0.00904755225136765,"cancellations",129
"22","EA","10",0.00507024400549276,"cancellations",96
"23","EA","11",0.00733295728424183,"cancellations",143
"24","EA","12",0.0165404543642886,"cancellations",332
