"","UniqueCarrier","Month","ratio","type","Value"
"1","NW","1",0.056008035460838,"count",45797
"2","NW","2",0.036648087457838,"count",41803
"3","NW","3",0.0440636210398928,"count",46274
"4","NW","4",0.0245291086256948,"count",44437
"5","NW","5",0.00993747208575257,"count",44780
"6","NW","6",0.01932119537361,"count",44873
"7","NW","7",0.0179617588360265,"count",46599
"8","NW","8",0.0197422126745435,"count",46550
"9","NW","9",0.0161535976369594,"count",43334
"10","NW","10",0.014786939679026,"count",45175
"11","NW","11",0.0202764544366478,"count",42611
"12","NW","12",0.0192791469088804,"count",44919
"13","NW","1",0.056008035460838,"cancellations",2565
"14","NW","2",0.036648087457838,"cancellations",1532
"15","NW","3",0.0440636210398928,"cancellations",2039
"16","NW","4",0.0245291086256948,"cancellations",1090
"17","NW","5",0.00993747208575257,"cancellations",445
"18","NW","6",0.01932119537361,"cancellations",867
"19","NW","7",0.0179617588360265,"cancellations",837
"20","NW","8",0.0197422126745435,"cancellations",919
"21","NW","9",0.0161535976369594,"cancellations",700
"22","NW","10",0.014786939679026,"cancellations",668
"23","NW","11",0.0202764544366478,"cancellations",864
"24","NW","12",0.0192791469088804,"cancellations",866
