"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.05547277,"1990"
"2","(-10;10]","DL",0.6399227,"1990"
"3","(10;30]","DL",0.2064833,"1990"
"4","(30;50]","DL",0.04520534,"1990"
"5","(50;100]","DL",0.03190294,"1990"
"6","(100;+inf)","DL",0.01266288,"1990"
"7","cancelled","DL",0.007574673,"1990"
"8","(-inf;-10]","Średnia",0.12818113,"1990"
"9","(-10;10]","Średnia",0.6048757,"1990"
"10","(10;30]","Średnia",0.1685802,"1990"
"11","(30;50]","Średnia",0.04223383,"1990"
"12","(50;100]","Średnia",0.03077353,"1990"
"13","(100;+inf)","Średnia",0.01237646,"1990"
"14","cancelled","Średnia",0.009952393,"1990"
