"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.06132856,"1993"
"2","(-10;10]","DL",0.626058,"1993"
"3","(10;30]","DL",0.2228445,"1993"
"4","(30;50]","DL",0.04560372,"1993"
"5","(50;100]","DL",0.0240139,"1993"
"6","(100;+inf)","DL",0.009293622,"1993"
"7","cancelled","DL",0.009323659,"1993"
"8","(-inf;-10]","Średnia",0.1341751,"1993"
"9","(-10;10]","Średnia",0.6248093,"1993"
"10","(10;30]","Średnia",0.1552265,"1993"
"11","(30;50]","Średnia",0.03658948,"1993"
"12","(50;100]","Średnia",0.02549748,"1993"
"13","(100;+inf)","Średnia",0.009861747,"1993"
"14","cancelled","Średnia",0.011802581,"1993"
