"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.2133291,"2005"
"2","(-10;10]","DL",0.5044326,"2005"
"3","(10;30]","DL",0.137405,"2005"
"4","(30;50]","DL",0.04606093,"2005"
"5","(50;100]","DL",0.04480163,"2005"
"6","(100;+inf)","DL",0.02508879,"2005"
"7","cancelled","DL",0.02693445,"2005"
"8","(-inf;-10]","Średnia",0.2349835,"2005"
"9","(-10;10]","Średnia",0.4967442,"2005"
"10","(10;30]","Średnia",0.1324847,"2005"
"11","(30;50]","Średnia",0.0473756,"2005"
"12","(50;100]","Średnia",0.04381763,"2005"
"13","(100;+inf)","Średnia",0.02390165,"2005"
"14","cancelled","Średnia",0.01872813,"2005"
