"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.2357873,"2001"
"2","(-10;10]","DL",0.5007926,"2001"
"3","(10;30]","DL",0.1309031,"2001"
"4","(30;50]","DL",0.04068072,"2001"
"5","(50;100]","DL",0.03335225,"2001"
"6","(100;+inf)","DL",0.01702992,"2001"
"7","cancelled","DL",0.03930147,"2001"
"8","(-inf;-10]","Średnia",0.2358616,"2001"
"9","(-10;10]","Średnia",0.4959461,"2001"
"10","(10;30]","Średnia",0.1277862,"2001"
"11","(30;50]","Średnia",0.0433451,"2001"
"12","(50;100]","Średnia",0.03752333,"2001"
"13","(100;+inf)","Średnia",0.01863356,"2001"
"14","cancelled","Średnia",0.03874104,"2001"
