"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.2479954,"2006"
"2","(-10;10]","DL",0.4691021,"2006"
"3","(10;30]","DL",0.1462163,"2006"
"4","(30;50]","DL",0.05229151,"2006"
"5","(50;100]","DL",0.04505756,"2006"
"6","(100;+inf)","DL",0.02193501,"2006"
"7","cancelled","DL",0.01520493,"2006"
"8","(-inf;-10]","Średnia",0.2350097,"2006"
"9","(-10;10]","Średnia",0.4765829,"2006"
"10","(10;30]","Średnia",0.1384909,"2006"
"11","(30;50]","Średnia",0.05242202,"2006"
"12","(50;100]","Średnia",0.04972583,"2006"
"13","(100;+inf)","Średnia",0.02842932,"2006"
"14","cancelled","Średnia",0.017073,"2006"
