"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.105336,"1997"
"2","(-10;10]","DL",0.5670445,"1997"
"3","(10;30]","DL",0.2041569,"1997"
"4","(30;50]","DL",0.0553192,"1997"
"5","(50;100]","DL",0.03652221,"1997"
"6","(100;+inf)","DL",0.01491783,"1997"
"7","cancelled","DL",0.01490807,"1997"
"8","(-inf;-10]","Średnia",0.1426429,"1997"
"9","(-10;10]","Średnia",0.5786822,"1997"
"10","(10;30]","Średnia",0.160772,"1997"
"11","(30;50]","Średnia",0.04597306,"1997"
"12","(50;100]","Średnia",0.03565902,"1997"
"13","(100;+inf)","Średnia",0.01597386,"1997"
"14","cancelled","Średnia",0.01806464,"1997"
