"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.2325175,"2003"
"2","(-10;10]","DL",0.5434783,"2003"
"3","(10;30]","DL",0.1344153,"2003"
"4","(30;50]","DL",0.03663999,"2003"
"5","(50;100]","DL",0.0271307,"2003"
"6","(100;+inf)","DL",0.01368569,"2003"
"7","cancelled","DL",0.01050987,"2003"
"8","(-inf;-10]","Średnia",0.2688232,"2003"
"9","(-10;10]","Średnia",0.5120164,"2003"
"10","(10;30]","Średnia",0.1154458,"2003"
"11","(30;50]","Średnia",0.0378606,"2003"
"12","(50;100]","Średnia",0.03247818,"2003"
"13","(100;+inf)","Średnia",0.01598341,"2003"
"14","cancelled","Średnia",0.01563819,"2003"
