"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",753983,0.0743836399494418,0.679155896087843,0.179702990650983,0.0338694639003797,0.0199460730546975,0.00652004090277898,0.0059271893398127,0.00049470611406358,6.15597998240652,2,1
"2","AA",694757,0.153457971636126,0.624393852814725,0.144751330321249,0.0331612347914451,0.0235636344793935,0.00852816164500681,0.00951555723799832,0.00262825707405611,4.22333605315305,0,1
"3","UA",587144,0.142905317945853,0.577585737059393,0.169500156690693,0.0482811712288638,0.0345843609063535,0.0144342784734239,0.00982041884103389,0.00288855885438666,7.31995645888608,1,1
"4","US",494383,0.0749418972739758,0.616461326542377,0.210231743405416,0.050907899341199,0.0294002827767136,0.00673162305338169,0.0092276635725743,0.00209756403436202,8.10784927493535,4,1
"5","PI",470957,0.0433118097830587,0.651734659427506,0.220255777066696,0.0395641215652384,0.0229192898714745,0.00997755633741509,0.00916007193862709,0.00307671400998393,8.68599337050779,4,1
"6","CO",457031,0.22868908235984,0.506915285834002,0.151427364883345,0.0440976651474408,0.0366867892987565,0.0175130352208056,0.0107716981999033,0.00389907905590649,5.69156566576214,0,1
"7","NW",431440,0.0947524568885592,0.600183107732245,0.206587242722047,0.0466345262377156,0.0257532913035416,0.00855738920823289,0.0143102169478954,0.00322176895976266,7.80986892393058,3,1
"8","EA",389292,0.139861594895348,0.594039949446688,0.146558367497919,0.0397876144385192,0.0365612445156849,0.0185310769294,0.0169692672852255,0.00769088499121482,7.62843831315909,1,1
"9","TW",275819,0.11160579945544,0.584299848813896,0.201617727567717,0.0489161370318941,0.029602746728833,0.0114604142571759,0.00894064585833463,0.00355668028670976,7.93459312998399,3,1
"10","WN",262422,0.0908460418714894,0.73093719276585,0.122729801617242,0.0281721806860705,0.0171746271272988,0.00445846765896152,0.00558261121399883,9.90770590880338e-05,3.25855494364411,0,1
"11","HP",180871,0.0642059810583233,0.742020556086935,0.152191340789845,0.021512569732019,0.0103830907110593,0.00302425485567062,0.00537952463357863,0.00128268213256962,4.07656985740207,2,1
"12","AS",89822,0.059350715860257,0.659537752443722,0.199216227650242,0.0418939680701833,0.0228785820845673,0.0062011533922647,0.00778205784774331,0.00313954265102091,7.77568915253093,4,1
"13","PA (1)",72264,0.10896158529835,0.586585298350493,0.190924941879774,0.0494160301118122,0.0347475921620724,0.0131324034097199,0.0119423225949297,0.00428982619284844,8.6499838235501,3,1
"14","PS",41911,0.173677554818544,0.670778554556083,0.0996397127245831,0.0268664551072511,0.0183006847844241,0.00286321013576388,0.00648994297439813,0.00138388489895254,1.45063851278228,-2,1
"15","All_data",5202096,0.113534813659725,0.621962570471595,0.174900463197911,0.0403152882991779,0.0267274959939224,0.0101414891228459,0.00964284396135712,0.00277503529346633,6.54735000331874,2,1
