"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","WN",1168871,0.209713475653002,0.5511643286556,0.128288750426694,0.0466501436001064,0.0371478118629002,0.016843603785191,0.00854927532636193,0.00164261069014459,5.47295839606969,-2,1
"2","AA",633857,0.210659502064346,0.43366563751761,0.143589169165916,0.0629384861254195,0.0728318847942044,0.0447293316946882,0.0282776714621752,0.00330831717564056,14.4418688379307,1,1
"3","OO",597882,0.204098802104763,0.507896206943845,0.139442231075697,0.0485480412522872,0.0472066394372134,0.0277011182808648,0.0237270899608953,0.00137987094443385,8.83888716371204,0,1
"4","MQ",540494,0.217510277634904,0.43514821626142,0.132821085895496,0.0612439731060844,0.0686316591858559,0.0397062687097359,0.0421688307363264,0.00276968847017728,12.9927935606978,0,1
"5","UA",490002,0.24818674209493,0.4131187219644,0.14188717597071,0.0593813902800397,0.0654650389182085,0.0456100179182942,0.0243447985926588,0.00200611426075812,12.7531220524429,0,1
"6","US",485447,0.210989047208037,0.423187289240638,0.187713591803019,0.0710026017258321,0.0581299297348629,0.0286581233378721,0.0184201364927582,0.00189928045698089,11.5272686365997,3,1
"7","DL",475889,0.238053411614893,0.483663207176463,0.147002767452074,0.0499150011872517,0.0413688906446671,0.0240980564795572,0.0137027752269962,0.00219589021809708,7.30303871473321,-1,1
"8","XE",434773,0.310421760320903,0.393653699746764,0.114434429000881,0.0502584107108767,0.0579888815542823,0.0445657849038464,0.0248405489761324,0.00383648478631378,10.0070517753756,-3,1
"9","NW",414526,0.162260027115308,0.474947289192958,0.192636891292705,0.0684444401557441,0.0557262994359823,0.0251081958670867,0.0188504460516349,0.00202641088858117,12.5591417983995,3,1
"10","CO",323151,0.273559419590223,0.429053290876401,0.130737642773812,0.0548969367261745,0.0591240627446612,0.0402103041612126,0.00913195379249948,0.00328638933501676,10.2694633669447,-1,1
"11","YV",294362,0.246730216536102,0.447411690367643,0.118975954776771,0.0486441864099306,0.0558190255535701,0.0424103654683689,0.0383439438514482,0.00166461703616635,10.9634764761045,-1,1
"12","EV",286234,0.21337786566236,0.389876814075197,0.158632447577856,0.0722625544135218,0.0788690372212945,0.053382896511246,0.0311633139319578,0.00243507060656666,17.1957291128166,3,1
"13","FL",263159,0.255419727237146,0.470886422277026,0.134872833534099,0.0502547889298865,0.0471996017616726,0.0288646787683492,0.00988755847225442,0.00261438901956612,7.93792256867883,-2,1
"14","9E",258851,0.263004585649659,0.461021977894619,0.124156367949129,0.0449486384058783,0.0441296344228919,0.0292639394864227,0.0306701538723049,0.00280470231909477,8.13833707721455,-2,1
"15","OH",233787,0.201046251502436,0.431465393713081,0.159149140029172,0.0646229259967406,0.0656195596846702,0.0382484911479253,0.0378592479479184,0.00198898997805695,13.1350508528941,2,1
"16","B6",191450,0.303901802037085,0.358751632279969,0.13346043353356,0.0604074170801776,0.066800731261426,0.0540402193784278,0.0193784277879342,0.00325933664142074,13.4399356548879,-1,1
"17","AS",160185,0.258981802291101,0.417111464868746,0.161787932702812,0.0633517495395948,0.0519087305303243,0.0277429222461529,0.0160002497112713,0.00311514810999781,9.26278775227051,0,1
"18","F9",97760,0.184052782324059,0.536262274959084,0.169619476268412,0.0512581833060556,0.0367430441898527,0.0168269230769231,0.00407119476268412,0.00116612111292962,7.43188548864758,1,1
"19","HA",56175,0.133796172674677,0.77813974187806,0.0581575433911883,0.0118558077436582,0.00745883400089008,0.00631953716065866,0.00423676012461059,3.56030262572319e-05,-0.430517565030839,-3,1
"20","AQ",46360,0.191781708369284,0.706880931837791,0.0602890422778257,0.0152502157031924,0.0120146678170837,0.00509059534081104,0.00836928386540121,0.000323554788610871,-1.37689579389429,-4,1
"21","All_data",7453215,0.227587960363414,0.463493673535515,0.141947468307301,0.055667252319972,0.0544959457093348,0.032935183004918,0.0215676053890838,0.00230491137046228,10.192180570721,0,1
