"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",884019,0.10862209975125,0.588551829768365,0.19280807312965,0.0502749375296232,0.0318296326210183,0.012882076063976,0.0136761766432622,0.00135517449285592,8.24730370229152,3,1
"2","US",778835,0.105510152984907,0.634677434886722,0.164697272207849,0.0399365719311536,0.0266038377833559,0.00903657385710709,0.0178446012313263,0.00169355511757946,6.14472550411331,1,1
"3","UA",724807,0.164882513551883,0.562671166255293,0.146829431834957,0.0473684718828598,0.0412565000062085,0.0165492331061924,0.0183855840244369,0.00205709933816864,7.22449611966366,0,1
"4","WN",693101,0.0566771653770518,0.709358376340533,0.139414024795809,0.043995031027224,0.0294863230611412,0.007541469425091,0.0117443200918769,0.00178328988127271,6.3741943032652,0,1
"5","AA",688471,0.183615577126705,0.540772232962608,0.150622175806969,0.0460672998572198,0.0433177287060748,0.016896862758199,0.0164059197845661,0.00230220299765713,7.26821405258507,0,1
"6","NW",521693,0.204905950434451,0.558552635362177,0.124556012827467,0.0375393191014639,0.0306674615147223,0.016247103181373,0.0251335555585373,0.00239796201980858,4.8809177458459,-2,1
"7","CO",434425,0.168588363929332,0.571548598722449,0.14969672555677,0.0396846406169074,0.0323899407262473,0.0157955918743166,0.0201530759049318,0.00214306266904529,6.34587829231599,0,1
"8","TW",272452,0.159991484738596,0.525780687974395,0.173245195483975,0.054545387811431,0.0411485325855564,0.0194933419464713,0.0232371206671267,0.00255824879244784,8.90269531014528,1,1
"9","HP",194508,0.052774178954079,0.653176218972998,0.186269973471528,0.043859378534559,0.0339883192465091,0.0129352006087153,0.0155777654389537,0.00141896477265717,9.15338228679616,3,1
"10","AS",135124,0.063230810218762,0.618039726473461,0.222906367484681,0.0442038423966135,0.0243258044462864,0.00926556348243095,0.0142683757141588,0.00375950978360617,8.62947666706861,4,1
"11","All_data",5327435,0.132510298107814,0.596889309771025,0.159369752986193,0.0447267775205141,0.0338249082344505,0.0134582589933054,0.0172512663223484,0.00196942806434992,7.02406413120823,1,1
