"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",898896,0.0613285630373258,0.626057964436375,0.22284446699062,0.0456037183389402,0.0240139014969474,0.0092936223990317,0.00932365924422848,0.00153410405653157,8.63528189163413,4,1
"2","US",833131,0.141870846241467,0.634345619116321,0.141950065475898,0.0326011155508557,0.0215380294335465,0.00850766566122254,0.0174786438147182,0.00170801470597061,4.19449278341936,0,1
"3","AA",786696,0.138833806197057,0.613008074275197,0.151944334279061,0.0385866967672392,0.0314441664887072,0.0121177684899885,0.0117821877828284,0.00228296571992231,6.08007544824794,1,1
"4","UA",649086,0.155723586704998,0.573655879190123,0.161047996721544,0.0459107113695258,0.0371691886745362,0.0136176099931288,0.010650360660991,0.0022246666851542,6.79360853028347,1,1
"5","WN",488332,0.0883947806000835,0.766277860144328,0.0984514633487054,0.0218416978612911,0.0143979915303523,0.00447031937288566,0.00463823792010354,0.00152764922225044,2.31550046258044,-1,1
"6","NW",474831,0.1989760567444,0.615065149495294,0.115110428763076,0.0252089690858432,0.0188424934345062,0.00828084097289351,0.0165974841575213,0.00191857734646643,1.94920382199773,-2,1
"7","CO",419560,0.218946038707217,0.517709028506054,0.154171036323768,0.0440151587377252,0.034159595766994,0.0152636094956621,0.0127991228906473,0.0029364095719325,5.61590767099802,0,1
"8","TW",244782,0.187084834669216,0.588719758805795,0.137117925337647,0.0365549754475411,0.0248670245361179,0.00875881396507913,0.014429165543218,0.0024675016953861,3.62472677709166,-1,1
"9","HP",176756,0.079810586345018,0.713395867749892,0.146540994365114,0.0273314625811854,0.0181776007603702,0.00664192446083867,0.00584421462354885,0.0022573491140329,4.79690743993977,1,1
"10","AS",98431,0.0741941055155388,0.696670764291737,0.178256849976125,0.0237222013390091,0.0130243520842011,0.00358626855360608,0.00649185724009712,0.00405360099968506,4.96174263037385,2,1
"11","All_data",5070501,0.134175104195818,0.624809264409967,0.155226475648067,0.0365894810000037,0.0254974804264904,0.00986174738945915,0.0118025812439441,0.00203786568625073,5.34406237357067,0,1
