"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",914130,0.188167984859921,0.541994027107742,0.145870937394025,0.0437848008488946,0.0363744762779911,0.0181571548904423,0.0237854572106812,0.00186516141030269,6.67893254831691,0,1
"2","WN",853683,0.0933320682267305,0.651089455922163,0.150177524912643,0.0485871219176205,0.0339071997451044,0.0122211640620699,0.00890963038973483,0.00177583482393347,7.46984291247169,0,1
"3","UA",774370,0.168715213657554,0.529368389787828,0.140354094296008,0.0461278200343505,0.0488048348980462,0.029076539638674,0.0353306558880122,0.00222245179952736,9.88241489889842,0,1
"4","US",714430,0.148104082975239,0.516986968632336,0.155967694525706,0.0552510392900634,0.0506179751690159,0.024910768024859,0.0452234648600983,0.00293800652268242,10.4416092420539,1,1
"5","AA",692653,0.22509828153491,0.463208850607736,0.142407525846275,0.047189574000257,0.0489927857094389,0.0280068086040196,0.0418102570839944,0.00328591661336918,8.91891650804258,0,1
"6","NW",537180,0.298062102088685,0.462394355709446,0.116756022189955,0.04011132208943,0.0355616366953349,0.02065788004021,0.0232789753899996,0.00317770579693957,4.38988045157639,-3,1
"7","CO",400014,0.234434294799682,0.481548145814896,0.13947761828336,0.0470908518201863,0.0441884534041309,0.0298964536241232,0.0207342743003995,0.00262990795322164,8.48035416261378,-1,1
"8","TW",275830,0.233694667005039,0.525464960301635,0.120759163252728,0.0387448790921945,0.0372729579813653,0.0238226443824095,0.0181597360693181,0.00208099191531015,6.00888076463383,-2,1
"9","HP",209496,0.099610493756444,0.52705540917249,0.206419215641349,0.0622923588039867,0.0501727956619697,0.0281962424103563,0.024640088593577,0.0016133959598274,13.2082344751858,4,1
"10","AS",156098,0.0914681802457431,0.551390792963395,0.199663032197722,0.0586042101756589,0.0427359735550744,0.0181424489743623,0.0343630283539828,0.00363233353406194,11.0037225222586,4,1
"11","All_data",5527884,0.180458743345555,0.530734545080903,0.145902844560414,0.0475138407390604,0.0423905422038523,0.0226323490145596,0.0279150213716496,0.00245211368400639,8.24660103753383,0,1
