"","UniqueCarrier","delta_mean_delay","Year"
"1","WN",-1.53283111257,"2003"
"2","AA",-0.389356104763682,"2003"
"3","DL",0.258603617439487,"2003"
"4","UA",-0.482785859490885,"2003"
"5","NW",-1.63344598868061,"2003"
"6","MQ",0.642639527298747,"2003"
"7","US",0.626403869861742,"2003"
"8","OO",-1.30909038133292,"2003"
"9","XE",1.63227338185999,"2003"
"10","CO",0.186245639990007,"2003"
"11","DH",2.93712612223328,"2003"
"12","EV",3.0632024377392,"2003"
"13","HP",-0.535161305547551,"2003"
"14","AS",-0.419018688262592,"2003"
"15","FL",4.76937576715912,"2003"
"16","TZ",1.36290452454014,"2003"
"17","B6",-2.61066041148637,"2003"
"18","HA",-3.73966124426368,"2003"
