"","UniqueCarrier","delta_mean_delay","Year"
"1","WN",-3.63936491772223,"2006"
"2","AA",0.915425875368816,"2006"
"3","MQ",2.20783316608927,"2006"
"4","OO",-0.483575357738241,"2006"
"5","DL",-1.6706298137808,"2006"
"6","US",-2.05371886569383,"2006"
"7","UA",1.81961736788812,"2006"
"8","XE",2.03948976175665,"2006"
"9","NW",-0.629788412130249,"2006"
"10","CO",2.62855721055888,"2006"
"11","YV",2.94430605672454,"2006"
"12","OH",0.197190779656493,"2006"
"13","EV",5.87681802637007,"2006"
"14","FL",0.761892338745882,"2006"
"15","AS",0.445582632732117,"2006"
"16","B6",2.2267633411419,"2006"
"17","F9",-4.03008677634226,"2006"
"18","HA",-9.71483610223819,"2006"
"19","AQ",-9.32878129172274,"2006"
"20","TZ",7.0878801087591,"2006"
