"","UniqueCarrier","delta_mean_delay","Year"
"1","WN",-4.71922217465136,"2007"
"2","AA",4.2496882672096,"2007"
"3","OO",-1.35329340700901,"2007"
"4","MQ",2.80061298997673,"2007"
"5","UA",2.56094148172189,"2007"
"6","US",1.33508806587866,"2007"
"7","DL",-2.88914185598784,"2007"
"8","XE",-0.185128795345433,"2007"
"9","NW",2.36696122767845,"2007"
"10","CO",0.077282796223658,"2007"
"11","YV",0.771295905383486,"2007"
"12","EV",7.00354854209559,"2007"
"13","FL",-2.25425800204222,"2007"
"14","9E",-2.0538434935065,"2007"
"15","OH",2.94287028217309,"2007"
"16","B6",3.24775508416683,"2007"
"17","AS",-0.929392818450536,"2007"
"18","F9",-2.76029508207347,"2007"
"19","HA",-10.6226981357519,"2007"
"20","AQ",-11.5690763646153,"2007"
