"","UniqueCarrier","delta_mean_delay","Year"
"1","DL",-0.391370020912221,"1988"
"2","AA",-2.32401395016569,"1988"
"3","UA",0.772606455567342,"1988"
"4","US",1.56049927161661,"1988"
"5","PI",2.13864336718905,"1988"
"6","CO",-0.8557843375566,"1988"
"7","NW",1.26251892061185,"1988"
"8","EA",1.08108830984035,"1988"
"9","TW",1.38724312666526,"1988"
"10","WN",-3.28879505967463,"1988"
"11","HP",-2.47078014591667,"1988"
"12","AS",1.22833914921219,"1988"
"13","PA (1)",2.10263382023136,"1988"
"14","PS",-5.09671149053646,"1988"
